,id,Yield
0,74051,7.58
1,74052,7.95
2,74053,10.08
3,74054,9.76
4,74055,7.58
5,74056,12.36
6,74057,11.75
7,74058,7.95
8,74059,12.89
9,74060,10.54
10,74061,12.25
11,74062,10.45
12,74063,4.14
13,74064,13.4
14,74065,5.47
15,74066,6.25
16,74067,11.32
17,74068,12.95
18,74069,10.69
19,74070,10.69
20,74071,16.11
21,74072,9.44
22,74073,9.01
23,74074,9.54
24,74075,11.14
25,74076,9.54
26,74077,13.17
27,74078,11.3
28,74079,8.91
29,74080,11.84
30,74081,10.97
31,74082,10.94
32,74083,10.9
33,74084,12.85
34,74085,11.16
35,74086,7.47
36,74087,9.56
37,74088,11.76
38,74089,8.68
39,74090,10.86
40,74091,8.09
41,74092,9.93
42,74093,10.8
43,74094,9.88
44,74095,15.95
45,74096,12.73
46,74097,6.29
47,74098,6.25
48,74099,12.43
49,74100,10.31
50,74101,11.84
51,74102,9.54
52,74103,11.95
53,74104,9.71
54,74105,9.07
55,74106,11.75
56,74107,9.65
57,74108,4.87
58,74109,10.01
59,74110,5.61
60,74111,11.01
61,74112,6.84
62,74113,8.53
63,74114,10.9
64,74115,9.73
65,74116,10.69
66,74117,13.4
67,74118,9.71
68,74119,9.33
69,74120,14.32
70,74121,9.95
71,74122,6.84
72,74123,12.41
73,74124,5.02
74,74125,7.47
75,74126,7.47
76,74127,10.74
77,74128,10.51
78,74129,9.07
79,74130,10.31
80,74131,10.69
81,74132,7.58
82,74133,11.02
83,74134,11.14
84,74135,4.55
85,74136,6.4
86,74137,5.48
87,74138,16.52
88,74139,10.9
89,74140,15.43
90,74141,9.3
91,74142,11.46
92,74143,14.51
93,74144,14.09
94,74145,11.3
95,74146,7.68
96,74147,10.34
97,74148,5.65
98,74149,10.69
99,74150,8.03
100,74151,9.27
101,74152,13.84
102,74153,11.52
103,74154,8.79
104,74155,6.33
105,74156,12.34
106,74157,11.19
107,74158,12.83
108,74159,10.51
109,74160,14.03
110,74161,9.83
111,74162,10.49
112,74163,10.35
113,74164,10.15
114,74165,10.31
115,74166,9.22
116,74167,11.75
117,74168,10.69
118,74169,10.83
119,74170,10.69
120,74171,13.05
121,74172,11.87
122,74173,7.47
123,74174,11.75
124,74175,9.97
125,74176,9.65
126,74177,12.67
127,74178,11.56
128,74179,13.69
129,74180,5.98
130,74181,9.63
131,74182,10.97
132,74183,7.47
133,74184,11.75
134,74185,12.73
135,74186,9.71
136,74187,9.93
137,74188,12.73
138,74189,6.0
139,74190,9.47
140,74191,11.12
141,74192,11.81
142,74193,9.47
143,74194,4.22
144,74195,11.76
145,74196,11.72
146,74197,10.31
147,74198,6.73
148,74199,10.67
149,74200,11.01
150,74201,8.54
151,74202,12.09
152,74203,10.9
153,74204,10.77
154,74205,9.88
155,74206,9.6
156,74207,9.22
157,74208,12.96
158,74209,15.27
159,74210,10.31
160,74211,7.58
161,74212,9.37
162,74213,10.97
163,74214,12.97
164,74215,8.56
165,74216,7.47
166,74217,14.55
167,74218,11.54
168,74219,8.33
